account_id,competitive_rank,leaderboard_rank,mmr_estimate,rank_tier,solo_competitive_rank,tracked_until
1284611820,None,None,{'estimate': 3723},None,None,None
412320425,None,4370,{'estimate': 3913},80,None,None
225617497,4324,2047,{'estimate': 3762},80,3478,1654960229
348236339,None,None,{'estimate': 3839},None,None,None
1262266956,None,None,{'estimate': 3797},None,None,None
318051460,None,None,{'estimate': 3813},72,None,None
1050127319,None,None,{'estimate': 3667},75,None,None
1255727750,None,None,{'estimate': 3807},80,None,None
420936449,None,None,{'estimate': 3805},80,None,None
1106336680,None,None,{'estimate': 3810},55,None,None
100471531,None,4,{'estimate': 7211},80,7361,None
102099826,None,282,{'estimate': 7228},80,8415,None
164532005,None,4,{'estimate': 7176},80,7786,None
132309493,5924,12,{'estimate': 7228},80,6739,None
148526973,5735,251,{'estimate': 6420},80,7179,None
184950344,None,26,{'estimate': 7067},80,6393,None
94281932,5200,12,{'estimate': 6966},80,8263,None
136829091,5664,91,{'estimate': 6492},80,6212,None
121404228,None,169,{'estimate': 7067},80,None,None
152545459,None,28,{'estimate': 6523},80,None,None
1144771878,None,None,{'estimate': 2781},None,None,None
241467447,None,None,{'estimate': 2816},80,None,None
913081877,None,None,{'estimate': 2800},43,None,None
1005626260,None,4466,{'estimate': 2826},80,None,None
948659765,None,2960,{'estimate': 2836},80,None,None
412910858,None,None,{'estimate': 3060},80,None,None
1090568489,None,4979,{'estimate': 2635},80,None,None
1068676453,None,4847,{'estimate': 2622},80,None,None
176158708,None,None,{'estimate': 2610},None,None,None
376005174,None,None,{'estimate': 2611},80,None,None
412320425,None,4370,{'estimate': 3913},80,None,None
225617497,4324,2047,{'estimate': 3762},80,3478,1654960229
1284611820,None,None,{'estimate': 3723},None,None,None
348236339,None,None,{'estimate': 3839},None,None,None
1262266956,None,None,{'estimate': 3797},None,None,None
113923026,3967,None,{'estimate': 4241},73,4587,None
173906452,1038,1627,{'estimate': 4224},80,3774,None
130433320,None,1476,{'estimate': 4240},80,6185,1655386292
1281314848,None,None,{'estimate': 4156},None,None,None
197469851,None,None,{'estimate': 3890},80,1896,None
250358373,None,1466,{'estimate': 3990},80,4046,None
1314388110,None,None,{'estimate': 3900},None,None,None
1251984026,None,None,{'estimate': 3830},None,None,None
1050127319,None,None,{'estimate': 3667},75,None,None
228392819,3563,901,{'estimate': 4138},80,3693,1655061981
1293381675,None,None,{'estimate': 4086},None,None,None
1248142838,None,None,{'estimate': 3708},None,None,None
1304613566,None,None,{'estimate': 3721},None,None,None
1247302157,None,None,{'estimate': 3695},None,None,None
1248664606,None,None,{'estimate': 3792},None,None,None
1210331127,None,None,{'estimate': 4212},80,None,None
339941742,3869,2574,{'estimate': 4270},80,5057,None
228392819,3563,901,{'estimate': 4138},80,3693,1655061981
420936449,None,None,{'estimate': 3805},80,None,None
1281314848,None,None,{'estimate': 4156},None,None,None
877800554,None,None,{'estimate': 3744},None,None,None
1251984026,None,None,{'estimate': 3830},None,None,None
1314388110,None,None,{'estimate': 3900},None,None,None
841038959,None,None,{'estimate': 3541},51,None,None
250358373,None,1466,{'estimate': 3990},80,4046,None
54580962,None,177,{'estimate': 7201},80,6989,None
73562326,None,55,{'estimate': 7200},80,None,None
152962063,5769,19,{'estimate': 7186},80,8067,None
77490514,8598,73,{'estimate': 7202},80,7777,None
72312627,None,12,{'estimate': 7058},80,7178,None
117421467,None,38,{'estimate': 6900},80,7974,None
195108598,3791,97,{'estimate': 6893},80,5354,None
235505993,5479,539,{'estimate': 6884},80,6025,None
106305042,None,None,{'estimate': 6893},63,None,None
177411785,5723,43,{'estimate': 6897},80,8360,None
1202292236,None,None,{'estimate': 4002},None,None,None
1238656049,None,None,{'estimate': 3854},None,None,None
1050127319,None,None,{'estimate': 3667},75,None,None
1266748819,None,None,{'estimate': 3893},None,None,None
1262266956,None,None,{'estimate': 3797},None,None,None
1248142838,None,None,{'estimate': 3708},None,None,None
412320425,None,4370,{'estimate': 3913},80,None,None
1304613566,None,None,{'estimate': 3721},None,None,None
1247302157,None,None,{'estimate': 3695},None,None,None
1248664606,None,None,{'estimate': 3792},None,None,None
1210331127,None,None,{'estimate': 4212},80,None,None
54580962,None,177,{'estimate': 7201},80,6989,None
1202292236,None,None,{'estimate': 4002},None,None,None
412320425,None,4370,{'estimate': 3913},80,None,None
1304613566,None,None,{'estimate': 3721},None,None,None
1248142838,None,None,{'estimate': 3708},None,None,None
1247302157,None,None,{'estimate': 3695},None,None,None
1248664606,None,None,{'estimate': 3792},None,None,None
1238656049,None,None,{'estimate': 3854},None,None,None
1202292236,None,None,{'estimate': 4002},None,None,None
1266748819,None,None,{'estimate': 3893},None,None,None
1050127319,None,None,{'estimate': 3667},75,None,None
1262266956,None,None,{'estimate': 3797},None,None,None
412320425,None,4370,{'estimate': 3913},80,None,None
225617497,4324,2047,{'estimate': 3762},80,3478,1654960229
348236339,None,None,{'estimate': 3839},None,None,None
250358373,None,1466,{'estimate': 3990},80,4046,None
412320425,None,4370,{'estimate': 3913},80,None,None
1284611820,None,None,{'estimate': 3723},None,None,None
483850689,None,None,{'estimate': 3193},None,None,None
1304613566,None,None,{'estimate': 3721},None,None,None
1096978451,None,None,{'estimate': 2944},None,None,None
841038959,None,None,{'estimate': 3541},51,None,None
366332869,3404,2088,{'estimate': 3050},80,2588,None
1103355581,None,None,{'estimate': 3111},71,None,None
1045494300,None,None,{'estimate': 3111},75,None,None
80599925,3265,None,{'estimate': 3111},80,3248,None
